Programme,Acronym,Project Title,Abstract,Researcher(s),Host Institution(s),Country,Region,Project Number,Call,Grant Type,Domain,Panel,Call Year,Start Date,End Date,EU contribution,CORDIS Link
Horizon 2020,BLaSt,Better Languages for Statistics: foundations for non-parametric probabilistic programming,"Probabilistic programming is a powerful method for Bayesian statistical modelling, particularly where the sample space is complex or unbounded (non-parametric). This is because the statistical model can be described clearly in a way that is precise but separate from inference algorithms. It accommodates complex models in such a way that outcomes are still explainable.

The objective of the proposed research is to develop a semantic foundation for probabilistic programming that properly explains the non-parametric aspects, particularly the symmetries that arise there. There are three ultimate goals:

* to propose new probabilistic programming languages: better languages for statistics;
* to devise new general inference methods for probabilistic programs;
* to build new foundations for probability.

The method is to build on advances on exploiting symmetries in traditional programming lan- guage semantics, by combining this with recent successes in formal semantics and verification for probabilistic programming.",Samuel Staton,"University of Oxford [999984350,UK]",United Kingdom,-,864202,ERC-2019-COG,Consolidator Grants,Physical sciences & engineering (PE),PE6 - Computer Science & Informatics,2019,2020-10-01 00:00:00,2026-09-30 00:00:00,1931178,https://cordis.europa.eu/project/id/864202
Horizon 2020,VESTA,VErified STAtic analysis platform,"Computer software pervades our life but far too much of it contains programming errors (bugs). Software is more and more complex and such errors are unavoidable if programmers are not accompanied with some tools that help auditing software codes. Static analysis is an increasingly popular technique that aims at automatically compute properties of software. These properties then help finding bugs, or proving absence of them. Industrial static analysers are flourishing. Facebook, Google, Microsoft develop their own static analysis tools to help maintaining their huge code base. Critical software industry (aircraft, railways, nuclear, etc.) has embraced the use of advanced static analysis tool as Astrée to companion and sometimes, ligthen their traditional software validation campaigns based on meticulous testing and reviews. Unfortunately, designing advanced static analyses like Astrée requires a very rare expertise in Abstract Interpretation, a foundational landmark in the research area, and implementing these ideas efficiently and correctly is specially tricky.
The VESTA project will propose guidance and tool-support to the designers of static analysis, in order to build advanced but reliable static analysis tools. We focus on analyzing low-level softwares written in C, leveraging on the CompCert verified compiler. This compiler toolchain is fully verified in the Coq proof assistant.
Verasco is a verified static analyser that I have architected. It analyses C programs and follows many of the advanced abstract interpretation technique developped for Astrée, but it is formally verified. The outcome of the VESTA project will be a platform that help designing other verified advanced abstract interpreters like Verasco, without starting from a white page. We will apply this technique to develop security analyses for C programs. The platform will be open-source and will help the adoption of abstract interpretation techniques.","David, Francois Pichardie","Normal Superior School of Rennes [944762056,FR]",France,Bretagne (FRH),772568,ERC-2017-COG,Consolidator Grants,Physical sciences & engineering (PE),PE6 - Computer Science & Informatics,2017,2018-09-01 00:00:00,2023-08-31 00:00:00,1885566,https://cordis.europa.eu/project/id/772568
Horizon 2020,NORIA,Numerical Optimal tRansport for ImAging,"Optimal Transport (OT) theory provides a powerful framework to manipulate probability distributions using simple and intuitive geometric principles. OT distances compare favorably to all other alternatives, notably Euclidean metrics or information divergences, whose outputs are particularly sensitive to changes in quantization and are not suitable to compare point clouds. Because of these and many more favorable properties, OT should be a standard tool in imaging sciences where probability distributions are routinely used. However, at this time, OT is but a confidential tool restricted to niche applications. OT is barely used because it is complex mathematically, which hinders its dissemination in more applied fields, and because it consumes substantial computational resources when used naively. NORIA will address these two bottlenecks and develop the next generation of theoretical, numerical and algorithmic advances to enable large-scale optimal transport computations in imag- ing sciences. The algorithms developed by NORIA will rely on several mathematical breakthroughs: highly parallelizable entropic regularization schemes, Bregman stochastic optimization and gradient flows for metric spaces. They will be implemented using fast optimization codes that will be interfaced through a high-level, easy to use, scripting language. These algorithms will have far reaching applications in imaging sciences and data science in a broad sense. In particular, they will be used in three flagship applications: color and material processing in computer graphics, texture analysis and synthesis in computer vision, and exploration of the visual cortex in neuroimaging. NORIA’s members are key players in the European mathematical school of optimal transport, which is very strong. NORIA is the unique opportunity to give a computational and practical embodiment to this wealth of theoretical knowledge.","Gabriel, Louis, Jean Peyré","National Centre for Scientific Research (CNRS) [999997930,FR]",France,Ile-de-France (FR1),724175,ERC-2016-COG,Consolidator Grants,Physical sciences & engineering (PE),PE6 - Computer Science & Informatics,2016,2017-10-01 00:00:00,2023-09-30 00:00:00,1996720,https://cordis.europa.eu/project/id/724175
Horizon 2020,SEQUOIA,Robust algorithms for learning from modern data,"Machine learning is needed and used everywhere, from science to industry, with a growing impact on many disciplines. While first successes were due at least in part to simple supervised learning algorithms used primarily as black boxes on medium-scale problems, modern data pose new challenges. Scalability is an important issue of course: with large amounts of data, many current problems far exceed the capabilities of existing algorithms despite sophisticated computing architectures. But beyond this, the core classical model of supervised machine learning, with the usual assumptions of independent and identically distributed data, or well-defined features, outputs and loss functions, has reached its theoretical and practical limits.

Given this new setting, existing optimization-based algorithms are not adapted. The main objective of this proposal is to push the frontiers of supervised machine learning, in terms of (a) scalability to data with massive numbers of observations, features, and tasks, (b) adaptability to modern computing environments, in particular for parallel and distributed processing, (c) provable adaptivity and robustness to problem and hardware specifications, and (d) robustness to non-convexities inherent in machine learning problems.

To achieve the expected breakthroughs, we will design a novel generation of learning algorithms amenable to a tight convergence analysis with realistic assumptions and efficient implementations. They will help transition machine learning algorithms towards the same wide-spread robust use as numerical linear algebra libraries. Outcomes of the research described in this proposal will include algorithms that come with strong convergence guarantees and are well-tested on real-life benchmarks coming from computer vision, bioinformatics, audio processing and natural language processing. For both distributed and non-distributed settings, we will release open-source software, adapted to widely available computing platforms.","Francis, René, Julien Bach","National Institute for Research in Computer Science and Automatic Control (INRIA) [999547074,FR]",France,Ile-de-France (FR1),724063,ERC-2016-COG,Consolidator Grants,Physical sciences & engineering (PE),PE6 - Computer Science & Informatics,2016,2017-09-01 00:00:00,2023-08-31 00:00:00,1998750,https://cordis.europa.eu/project/id/724063
Horizon 2020,LIPA,"A unified theory of finite-state recognisability
","Finite-state devices like finite automata and monoids on finite words, or extensions to trees and infinite objects, are fundamental tools of logic in computer science. There are tens of models in the literature, ranging from finite automata on finite words to weighted automata on infinite trees. Many existing finite-state models share important similarities, like existence of canonical (minimal) devices, or decidability of emptiness, or a logic-automata connection. The first and primary goal of this project is to systematically investigate these similarities, and create a unified theory of finite-state devices, which:

1. covers the whole spectrum of existing finite-state devices, including settings with diverse inputs (e.g. words and trees, or infinite inputs, or infinite alphabets) and diverse outputs (e.g. Boolean like in the classical automata, or numbers like in weighted automata); and

2. sheds light on the correct notion of finite-state device in settings where there is no universally accepted choice or where finite-state devices have not been considered at all.

The theory of finite-state devices is one of those fields of theory where even the more advanced results have natural potential for applications. It is surprising and sad how little of this potential is normally realised, with most existing software using only the most rudimentary theoretical techniques. The second goal of the project is to create two tools which use more advanced aspects of the theory of automata to solve simple problems of wide applicability (i.e. at least tens of thousands of users):

1. a system that automatically grades exercises in automata, which goes beyond simple testing, and forces the students to write proofs

2. a system that uses learning to synthesise text transformations (such a search-and-replace, but also more powerful ones) by using examples
",Mikolaj Konstanty Bojanczyk,"University of Warsaw [999572294,PL]",Poland,Makroregion województwo mazowieckie (PL9),683080,ERC-2015-COG,Consolidator Grants,Physical sciences & engineering (PE),PE6 - Computer Science & Informatics,2015,2016-05-01 00:00:00,2021-10-31 00:00:00,1768125,https://cordis.europa.eu/project/id/683080
Horizon 2020,TissueMaps,Integrating spatial and genetic information via automated image analysis and interactive visualization of tissue data,"Digital imaging of tissue samples and genetic analysis by next generation sequencing are two rapidly emerging fields in pathology. The exponential growth in digital imaging in pathology is catalyzed by more advanced imaging hardware, comparable to the complete shift from analog to digital images that took place in radiology a couple of decades ago: Entire glass slides can be digitized at near the optical resolution limits in only a few minutes’ time, and fluorescence as well as bright field stains can be imaged in parallel. 

Genetic analysis, and particularly transcriptomics, is rapidly evolving thanks to the impressive development of next generation sequencing technologies, enabling genome-wide single-cell analysis of DNA and RNA in thousands of cells at constantly decreasing costs. However, most of today’s available technologies result in a genetic analysis that is decoupled from the morphological and spatial information of the original tissue sample, while many important questions in tumor- and developmental biology require single cell spatial resolution to understand tissue heterogeneity.

The goal of the proposed project is to develop computational methods that bridge these two emerging fields. We want to combine spatially resolved high-throughput genomics analysis of tissue sections with digital image analysis of tissue morphology. Together with collaborators from the biomedical field, we propose two approaches for spatially resolved genomics; one based on sequencing mRNA transcripts directly in tissue samples, and one based on spatially resolved cellular barcoding followed by single cell sequencing. Both approaches require development of advanced digital image processing methods. Thus, we will couple genetic analysis with digital pathology. Going beyond visual assessment of this rich digital data will be a fundamental component for the future development of histopathology, both as a diagnostic tool and as a research field.

",Ewa Asa Carolina Wahlby,"Uppsala University [999985029,SE]",Sweden,Östra Sverige (SE1),682810,ERC-2015-COG,Consolidator Grants,Physical sciences & engineering (PE),PE6 - Computer Science & Informatics,2015,2016-04-01 00:00:00,2022-03-31 00:00:00,1738690,https://cordis.europa.eu/project/id/682810
Horizon 2020,AUTAR,A Unified Theory of Algorithmic Relaxations,"For a large family of computational problems collectively known as constrained optimization and satisfaction problems (CSPs), four decades of research in algorithms and computational complexity have led to a theory that tries to classify them as algorithmically tractable vs. intractable, i.e.  polynomial-time solvable vs. NP-hard. However, there remains an important gap in our knowledge in that many CSPs of interest resist classification by this theory. Some such problems of practical relevance include fundamental partition problems in graph theory, isomorphism problems in combinatorics, and strategy-design problems in mathematical game theory. To tackle this gap in our knowledge, the research of the last decade has been driven either by finding hard instances for algorithms that solve tighter and tighter relaxations of the original problem, or by formulating new hardness-hypotheses that are stronger but admittedly less robust than NP-hardness.

The ultimate goal of this project is closing the gap between the partial progress that these approaches represent and the original classification project into tractable vs. intractable problems. Our thesis is that the field has reached a point where, in many cases of interest, the analysis of the current candidate algorithms that appear to solve all instances could suffice to classify the problem one way or the other, without the need for alternative hardness-hypotheses. The novelty in our approach is a program to develop our recent discovery that, in some cases of interest, two methods from different areas match in strength: indistinguishability pebble games from mathematical logic, and hierarchies of convex relaxations from mathematical programming. Thus, we aim at making significant advances in the status of important algorithmic problems by looking for a general theory that unifies and goes beyond the current understanding of its components.
",Albert Atserias Peri,"Technical University of Catalonia [999976202,ES]",Spain,Este (ES5),648276,ERC-2014-COG,Consolidator Grants,Physical sciences & engineering (PE),PE6 - Computer Science & Informatics,2014,2015-06-01 00:00:00,2020-09-30 00:00:00,1725656,https://cordis.europa.eu/project/id/648276
FP7,REINS,Responsible Intelligent Systems,"I propose to develop a formal framework for automating responsibility, liability and risk checking for intelligent systems. The computational checking mechanisms have models of an intelligent system, an environment and a normative system (e.g., a system of law) as inputs; the outputs are answers to decision problems concerning responsibilities, liabilities and risks. The goal is to answer three central questions, corresponding to three sub-projects of the proposal: (1) What are suitable formal logical representation formalisms for knowledge of agentive responsibility in action, interaction and joint action? (2) How can we formally reason about the evaluation of grades of responsibility and risks relative to normative systems? (3) How can we perform computational checks of responsibilities in complex intelligent systems interacting with human agents? To answer the first two questions, we will design logical specification languages for collective responsibilities and for probability-based graded responsibilities, relative to normative systems. To answer the third question, we will design suitable translations to related logical formalisms, for which optimized model checkers and theorem provers exist. Success of the project will hinge on combining insights from three disciplines: philosophy, legal theory and computer science.",Johannes Maria Broersen,"Utrecht University [999985805,NL]",Netherlands,West-Nederland (NL3),616512,ERC-2013-COG,Consolidator Grants,Physical sciences & engineering (PE),PE6 - Computer Science & Informatics,2013,2014-03-01 00:00:00,2019-02-28 00:00:00,1968057,https://cordis.europa.eu/project/id/616512
Horizon 2020,MultiQubit,Multi-Qubit Photonic Devices,"MultiQubit is built on the concept of a novel type of quantum dots — crystal-phase quantum dots — discovered and developed by the PI. Crystal-phase quantum dots have a unique advantage — growth control with the ultimate accuracy of a single atomic layer. This advantage will break the major limitation in the field of optically-active quantum dots — impossibility to build quantum devices with multiple quantum dots due to lack of the required growth control — and thus unlock their true potential for Quantum Technologies. Based on these, MultiQubit is committed to creating a robust technological platform for making solid-state multi-qubit devices with a photonic interface. This platform shall be a game-changer in Quantum Technologies, allowing to connect quantum computers across the world. In particular, MultiQubit will develop and demonstrate all the steps from the fabrication of basic quantum structures to distributed entanglement between remote nodes of a multi-qubit Quantum Information Network. For the successful realization of these ideas, the PI proposes three key objectives:

1. Explore and demonstrate a novel crystal-phase qubit — the central element of MultiQubit. This qubit is based on crystal-phase quantum dots, which are fully designable and scalable, because their geometry can be controlled with the ultimate accuracy of a single atomic layer during the growth.

2. Build the first designable and scalable multi-qubit quantum register with a photonic interface. This is one of the major components in Quantum Information Networks to be implemented.

3. Design and demonstrate a quantum network of multi-qubit photonic devices. This may be a potential prototype of the forthcoming Quantum Internet.",Nikolay Akopian,"Technical University of Denmark [999990655,DK]",Denmark,Danmark (DK0),101003378,ERC-2020-COG,Consolidator Grants,Physical sciences & engineering (PE),PE7 - Systems & Communication Engineering,2020,2021-06-01 00:00:00,2028-01-31 00:00:00,2587745,https://cordis.europa.eu/project/id/101003378
Horizon 2020,TeraSHAPE,Terahertz Waveform Synthesis and Analysis Using Hybrid Photonic-Electronic Circuits,"Generation, detection, and processing of electromagnetic waveforms is one the most important tech-nical foundations of modern society. Digital signal processing, in particular, has revolutionized many areas of science and engineering. By exploiting massively parallel processing with tens of billions of transistors at comparatively low internal clock speed, CMOS circuits can provide output data rates of hundreds of gigabit per second, corresponding to effective clock rates of several hundred GHz. In contrast to that, the analog bandwidth of electronic circuits is much more difficult to scale due to limited switching speed of semiconductor devices, strongly increased transmission line losses at high frequencies, and the considerable complexity associated with high-speed circuit packaging and as-sembly.
TeraSHAPE aims at overcoming these limitations by establishing the foundations of novel signal processing concepts at T-wave frequencies between 100 GHz and 1 THz. Capitalizing on cutting-edge results in the fields of photonic integration and optical frequency comb generation, TeraSHAPE will combine massively parallel processing in digital electronic circuits with synthesis and analysis of broadband waveforms in the optical domain. To convert waveforms between optical and T-wave frequencies, TeraSHAPE will explore novel concepts for ultra-fast devices such as silicon-organic hybrid electro-optic modulators and silicon-plasmonic photodetectors with bandwidths of hundreds of GHz. Advances on the device level will be complemented by scalable assembly concepts, where TeraSHAPE will exploit 3D printing on the micro- and nanoscale both for hybrid photonic integration and for realizing sub-mm THz waveguides. The viability of the TeraSHAPE concepts will be experimentally demonstrated in applications of high relevance such as high-speed wireless communications at data rates of up to 1 Tbit/s or signal processing in high-field electron paramagnetic resonance (EPR) spectroscopy.
",Christian Gunter Koos,"Karlsruhe Institute of Technology [990797674,DE]",Germany,Baden-Württemberg (DE1),773248,ERC-2017-COG,Consolidator Grants,Physical sciences & engineering (PE),PE7 - Systems & Communication Engineering,2017,2018-05-01 00:00:00,2024-01-31 00:00:00,2498954,https://cordis.europa.eu/project/id/773248
Horizon 2020,HYPNOTIC,"Hybrid Indium Phosphide on Silicon nanophotonics for ultimate laser diodes, flip-flops and memories","The HYPNOTIC project aims at achieving a breakthrough in Silicon laser science and technology by taking forward the III-V semiconductors on Silicon hybrid technology into the nanophotonic world to make the dream of the convergence of microelectronics and photonics on a chip come true. This project intends to take up the challenge of bringing to reality electrically powered photonic crystal nanolasers as reference sources for dense integration and logical processing in a Silicon-based optical platform by accomplishing: (i) power efficiency with extremely low activation energies of few fJ, (ii) high bandwidth beyond 40Gbits/s, (iii) compactness with footprints less than 100µm² for high integration density of 103-104 of devices per mm2.
A paradigm change will be brought to Silicon photonics by laying down 3 corner stones which consist firstly in the realisation of ultimate nanolaser diode sources at telecom wavelengths using an optimised single hybrid active nanocavity. Secondly, the groundbreaking atomic physics concepts of superradiance and lasing without inversion of population resonators will be transposed to nanophotonics by coupling several active nanocavities. Besides studying them for their fundamental interest, the project will capitalise on them to drastically augment the power efficiency and the modulation bandwidth of the nanosources. Finally, the fabricated nanolaser diodes using these novel concepts will be exploited to demonstrate cutting-edge flip-flop and memory devices able to surpass current off-chip electronic random access memories in access times and bandwidth which could enable unprecedented computational power. 

","Fabrice, Denis Raineri","National Centre for Scientific Research (CNRS) [999997930,FR]",France,Ile-de-France (FR1),726420,ERC-2016-COG,Consolidator Grants,Physical sciences & engineering (PE),PE7 - Systems & Communication Engineering,2016,2017-04-01 00:00:00,2023-09-30 00:00:00,1981721,https://cordis.europa.eu/project/id/726420
Horizon 2020,PROCSYS,Towards programmable cyber-physical systems: a symbolic control approach,"Cyber-physical systems (CPS) consist of computational elements monitoring and controlling physical entities. The main objective of the PROCSYS project is to propose a general framework for the design of programmable CPS that will allow engineers to develop advanced functionalities using a high-level programming language for specifying the behaviours of a CPS while abstracting the details of the physical dynamics. Controllers enforcing the specified behaviours will be generated from a high-level program using an automated model-based synthesis tool. Correctness of the controllers will be guaranteed by following the correct by construction synthesis paradigm through the use of symbolic control techniques: the continuous physical dynamics is abstracted by a symbolic model, which is a purely discrete dynamical system; an interface consisting of low-level controllers is designed such that the physical system and the symbolic model behaves identically; a high-level symbolic controller is then synthesized automatically from the high-level program and the symbolic model. We will develop a high-level programming language, based on the intuitive formalism of hybrid automata, which will enable to specify a rich set of behaviours while enabling the development of efficient controller synthesis algorithms. The project will also tackle the two main bottlenecks in the area of symbolic control, which will enable its use in challenging real-life applications. Firstly, scalability of symbolic control will be achieved by the computation of more compact symbolic models and by controller synthesis algorithms that require only partial exploration of the symbolic models. Secondly, robustness will be ensured at all levels of control by developing novel algorithms for the synthesis of robust interfaces and of symbolic controllers. The algorithms developed in the project will be implemented in a symbolic control toolbox, which will enable the use of our approach by systems engineers.","Antoine, Sébastien Girard","National Centre for Scientific Research (CNRS) [999997930,FR]",France,Ile-de-France (FR1),725144,ERC-2016-COG,Consolidator Grants,Physical sciences & engineering (PE),PE7 - Systems & Communication Engineering,2016,2017-09-01 00:00:00,2023-08-31 00:00:00,1266731,https://cordis.europa.eu/project/id/725144
Horizon 2020,MEMETic,Mechanobiologically mimetic model systems for study of Bone disease (MEMETic),"Despite immense efforts to develop therapies for osteoporosis, conventional drugs that target bone loss only prevent osteoporotic fractures in 50% of sufferers, and the worldwide economic burden of treatment is projected to reach $132 billion by 2050. Recently our research has (1) identified important tissue-level changes in osteoporotic bone and (2) provided evidence that the biological mechanisms by which the cells normally respond to their mechanical environment are altered. However, no existing therapeutic approach has been developed to account for these. It is timely to build upon our important research findings and significantly advance the state of the art in the field of mechanobiology to understand osteoporosis aetiology and ultimately inform effective therapies.
A particular challenge for the international research field, has been that most current understanding of bone biology and pathophysiology has been derived either using 2D cell culture, which fails to capture vital biomechanical aspects of bone that govern bone biology, or animal studies, whose biology differs from that of humans. So, existing approaches cannot fully capture, or account for both human biological and mechanical factors, and this project seeks to address this challenge. 
 The global objective of the MEMETic project is to provide a paradigm change for studies of bone disease and therapeutics by consolidating, and significantly advancing, our novel approaches to develop advanced ex vivo models that recreate in vivo biomechanical cues in a living and multicellular 3D environment to replicate the mechanobiological function of bone. The MEMETic models will be applied to advance understanding of osteoporosis and a new osteoporosis therapy (sclerostin antibody). A unique multidisciplinary approach, combining cell and molecular biology with biomechanical and mechanobiological techniques, will enable these important advances, and consolidate a world leading mechanobiology research program.",Laoise Maria Cunningham,"National University of Ireland, Galway [999978045,IE]",Ireland,Ireland (IE0),863795,ERC-2019-COG,Consolidator Grants,Physical sciences & engineering (PE),PE8 - Products & Processes Engineering,2019,2020-09-01 00:00:00,2026-08-31 00:00:00,1999956,https://cordis.europa.eu/project/id/863795
FP7,BrainMicroFlow,Brain Microcirculation : Numerical simulation for inter-species translation with applications in human health,"The cerebral microvascular system is essential to a large variety of physiological processes in the brain, including blood delivery and blood flow regulation as a function of neuronal activity (neuro-vascular coupling). It plays a major role in the associated mechanisms leading to disease (stroke, neurodegenerative diseases, …). In the last decade, cutting edge technologies, including two-photon scanning laser microscopy (TPSLM) and optical manipulation of blood flow, have produced huge amounts of anatomic and functional experimental data in normal and Alzheimer Disease (AD) mice. These require accurate, highly quantitative, physiologically informed modeling and analysis for any coherent understanding and for translating results between species._x000D_In this context, our first aim is to develop a general methodological framework for physiologically informed microvascular fluid dynamics modeling, understood in a broad meaning, i.e. blood flow, molecule transport and resulting functional imaging signals or signal surrogates. _x000D_Our second aim is to validate this methodological framework by direct comparison of in vivo anatomical and functional TPSLM measurements with the simulation results based on the same anatomical data. _x000D_The third objective is to exploit these methodologies in order to identify the logic of the structure/function relationships of brain microcirculation and neurovascular coupling, in human health and disease, with a focus on the role of vascular factors in AD. _x000D_Specific hypotheses on how vascular changes in AD affect both vascular function and neurovascular coupling can be experimentally tested in animal models of AD. Crucially, similar anatomical (but not functional) data can be acquired in healthy and AD humans. This will enable us to model how AD-induced vascular alterations could affect human patients. Ultimately, it provides us with new avenues for design and/or evaluation of improved diagnosis/preventive/treatment strategies.","Sylvie, Jeanine Lejeune Ép Lorthois","National Centre for Scientific Research (CNRS) [999997930,FR]",France,Ile-de-France (FR1),615102,ERC-2013-COG,Consolidator Grants,Physical sciences & engineering (PE),PE8 - Products & Processes Engineering,2013,2014-06-01 00:00:00,2019-05-31 00:00:00,1999873,https://cordis.europa.eu/project/id/615102
FP7,BubbleBoost,Microfluidic bubbles for novel applications: acoustic laser and ultrasonically controlled swimming microrobots,"Microfluidic techniques developed since the year 2000 have now matured to provide a unique tool to produce large amounts of microbubbles that are not only finely tuned in size, but that can also be embedded in tiny microfabricated structures. _x000D__x000D_In the present proposal, we plan to take advantage of these novel microfabrication techniques to develop two innovative acoustic applications. These applications, which were out of reach without current techniques, are based on the use of microbubbles with a huge acoustic resonance. The project is structured in two parts that only differ in the way bubbles are embedded in microfluidic environments: _x000D__x000D_1) Arrays of bubbles: Acoustic Laser  _x000D_This first part is the development of an acoustic laser, based on microbubbles trapped in a microfluidic circuit. To obtain the conditions for an acoustic laser, arrays of microbubbles will be designed so that they bubbles pulsate in phase, reemitting their energy coherently. The applications are novel systems for high ultrasonic emission power, or meta-materials that store vibration energy._x000D__x000D_2) Mobile “armoured” bubbles:  swimming micro-robots remotely powered by ultrasound _x000D_The second part is the conception of ultrasonically activated microswimming devices, with microbubbles embedded within freely moving objects. Their application is to behave as carriers, such as drug carriers, activated at a distance, or to be active tracers that enhance mixing. Microswimmers are mechanical analogues to RFID devices (where electromagnetic vibration is converted into current), here sound is converted into motion at small scales. _x000D__x000D_Both parts include the same three complementary steps: step 1 is the 3D microfabrication of the geometry where bubbles are embedded, step 2 is their ultrasonic activation, and then step 3 is the optimisation of their resonance by a study of individual resonators.","Philippe, Guy, Marie Marmottant","National Centre for Scientific Research (CNRS) [999997930,FR]",France,Ile-de-France (FR1),614655,ERC-2013-COG,Consolidator Grants,Physical sciences & engineering (PE),PE8 - Products & Processes Engineering,2013,2014-04-01 00:00:00,2019-03-31 00:00:00,1856542,https://cordis.europa.eu/project/id/614655
FP7,NONSPHEREFLOW,Multiscale modelling of gas-fluidized flows of non-spherical particles,"Many important products are made using fluidized bed reactors, where solid particles are suspended by a gas flow. This promotes highly efficient gas-particle contact, resulting in high heat transfer, high chemical reaction rates and high product yields. Multiscale modelling has proven to be indispensable in the design and optimisation of fluidized bed reactors. Most coarse-grained models assume that the solid particles are of spherical shape because this simplifies the treatment of gas-solid drag and particle collisions. However, many particles used in fluidized bed (bio)reactors are non-spherical. This means that anisotropic collisions, anisotropic gas-solid drag, effects of local particle alignment, and alignment by nearby internal and external walls all need to be taken into account._x000D_I propose to pioneer a multiscale simulation methodology, backed up by validating in-house experiments, for prediction of structure formation in gas-solid flows of inelastic non-spherical particles. As a first step we focus on elongated particles. The multiscale approach consists of: 1) fully resolved simulations to obtain closures for translational and rotational gas drag tensors in crowded environments and near external and internal walls, 2) Discrete Particle Model simulations to validate the drag closures with matching experiments and to obtain statistics of angular and linear velocity changes due to inter-particle collisions between groups of particles, 3) a novel Lagrangian method based on stochastic multi-particle collisions. The collision propagation rules make maximum use of conservation laws and local symmetries of the particle configuration, orientation and deformation rates. The coarse-grained model is amenable to a parcel approach and can be coupled with heat and mass transfer models, allowing for simulation of industrial scale reactors with non-spherical particles.",Johannes Tiemen Padding,"Delft University of Technology [999977366,NL]",Netherlands,West-Nederland (NL3),615096,ERC-2013-COG,Consolidator Grants,Physical sciences & engineering (PE),PE8 - Products & Processes Engineering,2013,2014-05-01 00:00:00,2019-08-31 00:00:00,1983012,https://cordis.europa.eu/project/id/615096
Horizon Europe,QuickBlitz,Using short radio flashes to probe the remnants of neutron star mergers,"Neutron stars are the densest objects in the Universe, but an ongoing mystery is how massive can they get? By examining what happens when two neutron stars merge, we can help unravel this mystery. Some mergers will leave behind a black hole, while others instead make an even more massive neutron star. This massive neutron star will be spinning exceptionally fast and have a huge magnetic field (known as a magnetar). How long this magnetar lives completely depends on its mass, its spin energy and its magnetism. By studying this magnetar, we can learn about the maximum mass of neutron stars and emission mechanisms in extreme environments.
By studying emission in X-rays and optical wavelengths following these mergers, we have seen observational features associated with magnetars, but these features are not conclusive. Newly formed magnetars are predicted to give bright, short duration, flashes of coherent radio emission. If the magnetar is too massive, it will collapse to a black hole with its magnetic energy being released as a burst of radio emission – these sources are called Blitzars. Excitingly, I have made a first candidate detection of a radio flash following the likely merger of two neutron stars.
The goal of QuickBlitz is to search for coherent radio emission following the merger of two neutron stars, advancing our fundamental understanding of neutron star behaviour at extreme masses and magnetic fields. Neutron star mergers power gravitational wave emission and a short burst of gamma-rays. By automatically triggering on these, QuickBlitz will obtain radio observations that will be used to study the origin and emission mechanism of coherent radio flashes. Many of these mergers are poorly localised, so it is essential to know the underlying population of radio transients to confirm associations between radio transients and neutron star mergers. Thus, QuickBlitz will also conduct a deep legacy survey for radio transients, with durations of seconds to minutes.",Beatrix Rowlinson,"University of Amsterdam [999985708,NL]",Netherlands,West-Nederland (NL3),101170284,ERC-2024-COG,Consolidator Grants,Physical sciences & engineering (PE),PE9 - Universe Sciences,2024,2025-03-01 00:00:00,2030-02-28 00:00:00,2991325,https://cordis.europa.eu/project/id/101170284
Horizon 2020,LOVE-NEST,Looking for Super-Massive Neutron Stars,"The astrophysics field of compact binary millisecond pulsars is thriving. This growing class of rapidly spinning neutron stars – also known as ""spiders""– constitutes the most promising place to find massive pulsars. Super-massive neutron stars, with a mass significantly higher than two Solar masses, cannot contain exotic particles. Finding such stars would have profound implications for nuclear physics. The maximum neutron star mass has also important consequences for the fate of supernovae and the gravitational wave signal from neutron star mergers. In addition, spiders offer a unique probe of the pulsar's innermost wind and a nearby site for particle acceleration. The past years have seen exciting discoveries in this field, in which I have been closely involved. As a result, a new way has opened up to study fundamental astrophysical phenomena from compact binary millisecond pulsars.

The purpose of this project is to find the most massive neutron stars and to understand the interaction between accretion flows, pulsar winds and neutron star magnetospheres. LOVE-NEST will first uncover a hidden population of millisecond pulsars, with a targeted search of gamma-ray candidate sources. We will then measure accurately the masses of the heaviest pulsars, using a novel technique that we have recently established. We will also investigate nearby spiders as potential sources of cosmic rays and astrophysical neutrinos, placing unprecedented constraints on particle acceleration in relativistic pulsar wind shocks. 

LOVE-NEST will have a strong impact on gravitational wave astronomy, nuclear physics, astrophysics and astro-particle physics. As a leader in the field, and having developed a new method to measure pulsar masses, I am in an excellent position to achieve these ambitious goals.",Manuel Linares Alegret,"Norwegian University of Science and Technology [999977851,NO]",Norway,-,101002352,ERC-2020-COG,Consolidator Grants,Physical sciences & engineering (PE),PE9 - Universe Sciences,2020,2021-12-01 00:00:00,2027-08-31 00:00:00,1997625,https://cordis.europa.eu/project/id/101002352
