code,scheme-name,funding-commencement-year,scheme-information,current-admin-organisation,announcement-admin-organisation,grant-summary,lead-investigator,current-funding-amount,announced-funding-amount,grant-status,primary-field-of-research,anticipated-end-date,investigators,lief-register,national-interest-test-statement
"FT190100854","ARC Future Fellowships","2019","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2018 ^ roundNumber: 1 ^ schemeRound: FT19 Round 1","The University of Adelaide","The University of Adelaide","Light driven degradation of persistent organic pollutants. This project aims to address the accumulation of pollutants in our environment by developing and optimising materials that utilise light energy to breakdown these persistent chemicals. Combining novel techniques and approaches, this project expects to generate new knowledge in the field of materials science and photochemistry. The anticipated outcomes of this project include an advancement of environmental remediation methods and the capture of pollutants at their source. This should provide significant benefits to both humans and the environment through preventing the adverse impacts of pollutant exposure.","Dr Cameron Shearer","754911","715772","Closed","0303 - Macromolecular and Materials Chemistry","2024-09-30","Dr Cameron Shearer","",""
"FT190100855","ARC Future Fellowships","2019","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2018 ^ roundNumber: 1 ^ schemeRound: FT19 Round 1","Queensland University of Technology","Queensland University of Technology","A pictorial communication framework for inclusion. A picture can tell a thousand words; many people with an intellectual disability can only communicate with pictures and are otherwise isolated. This project will research how computers can understand and facilitate a rich pictorial communication between people and person to machine, thereby supporting inclusion. This will be achieved by inclusively co-designing with people with ID and members of the community: a) an audio-visual accessible search tool, b) a pictorial communication device, and c) a visual inclusive social network. These applications will inform future innovations for everyone, and allow citizens with ID to access online information, participate in community activities and be included in the workplace.","A/Prof Laurianne Sitbon","957890","908000","Active","0806 - Information Systems","2025-12-31","A/Prof Laurianne Sitbon","",""
"FT180100009","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","Australian Catholic University","Australian Catholic University","Sensory orchestration for multimodal literacy learning in primary education. This project aims to advance new learning and pedagogical models of sensory orchestration for the enhanced multimodal and digital literacy learning of primary students. Multimodal literacy is increasingly important in the Australian curriculum and international research, yet research and education largely prioritise visual texts. This project will generate pedagogical and learning models to optimise students’ broadened use of the senses in multimodal and digital literacy learning. It will develop new sensory literacy programs with primary schools, community organisations, and art museums. 

","Prof Kathy Mills","1024808","974636","Closed","1302 - Curriculum and Pedagogy","2024-12-31","Prof Kathy Mills","",""
"FT180100014","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Queensland","Griffith University","New bioarchaeological perspectives on pre-contact lifeways in Sahul . This project aims to establish a new bioarchaeology research program to study socio-economic changes in the Australia-New Guinea continent Sahul  and provide new insights into the complexity of societies from diverse environments. Bioarchaeology provides a unique lens for interpreting the past, however research of this nature has largely been inactive due to the sensitivity of studying ancestral remains of Indigenous people. However, there is growing interest from Aboriginal groups in the narratives that can be reconstructed from their ancestors, and many Aboriginal communities now support research on skeletal remains. In collaboration with Aboriginal communities, the project will apply new developments in bioarchaeology to sensitively assess patterns of mobility and sedentism in three separate populations. This project is expected to initiate a new era of bioarchaeological research and redefine our understanding of the complexity of past Aboriginal and Papuan narratives.","Prof Michael Westaway","980299","936468","Closed","1601 - Anthropology","2023-06-30","Prof Michael Westaway","",""
"FT180100020","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","Swinburne University of Technology","Swinburne University of Technology","Topological reaction dynamics in planar superfluids. This project aims to investigate novel correlated behaviours in two-dimensional superfluids. The project expects to generate new knowledge in the inter-linked areas of quantum turbulence and topological quantum computing with vortices in two-dimensional superfluids by combining innovative computational techniques and collaborative approaches. Expected outcomes include the uncovering of exotic reaction dynamics and vortex states of topological quantum matter. This project will enhance Australia's research capacity in two-dimensional superfluids and will provide further benefits that include training of students in advanced computational and technical disciplines.","A/Prof Tapio Simula","912493","868125","Closed","0206 - Quantum Physics","2023-12-31","A/Prof Tapio Simula","",""
"FT180100024","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The Australian National University","The Australian National University","Factors causing wheat stripe rust epidemics. This project aims to tackle wheat stripe rust, one of the most important fungal diseases of wheat in Australia, causing losses of up to $125 million a year. This project expects to gain insights into the fungal evolution and the molecular mechanism that causes hyper-virulent pathogen isolates. The expected outcome is to identify and characterise multiple genetic factors in the pathogen that contribute to wheat stripe rust epidemics in Australia. This project will contribute to improved disease management strategies to contain wheat stripe rust, resulting in higher wheat yields, reduced application of fungicides and increased revenue for Australian wheat farmers.","Prof Benjamin Schwessinger","805372","765720","Closed","0607 - Plant Biology","2022-09-29","Prof Benjamin Schwessinger","",""
"FT180100027","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Melbourne","The University of Melbourne","The role of immuno-exosomes in innate immunity. This project aims to determine the role of exosomes (EV) in innate immunity. Exosomes are extracellular vesicles secreted by mammalian cells that have an important biological function in intercellular communication by transferring biologically active proteins, lipids, and RNAs to neighbouring or distant cells. Following exposure to a foreign organism, cells dynamically change the protein composition of the EV they secrete. While this data supports a role for EV as key players in innate immunity, a full understanding of the biological relevance of these vesicles and how they serve as a cellular defence mechanism is lacking. This project will provide significant benefits such as addressing key questions in EV biology and providing new fundamental insights into a novel and poorly understood component of the innate immune response.","Prof Linda Wakim","898386","854125","Closed","1107 - Immunology","2022-12-31","Prof Linda Wakim","",""
"FT180100031","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of New South Wales","The University of New South Wales","Explaining the dark matter small-scale crisis with spectral distortions. This project aims to explain the nature of dark matter and provide a solution to the so-called small-scale crisis. The ""cold dark matter"" model provides an excellent fit to observations of the universe on the largest scales. Yet, it appears to be in conflict with current understanding of how small structures such as dwarf galaxies form. This project expects to determine the distortions to the blackbody spectrum of the cosmic microwave background (CMB) photons due to different solutions to this small-scale crisis. The expected outcome is to open an observational pathway to test these solutions with the future CMB observations. This project will provide significant contribution to both particle physics and astrophysics/astronomy, and will advance Australia’s knowledge base in fundamental science beyond the immediate goal of clarifying small-scale problems of cold dark matter.","Prof Yvonne Wong","839035","798125","Closed","0202 - Atomic, Molecular, Nuclear, Particle and Plasma Physics","2024-12-31","Prof Yvonne Wong","",""
"FT180100037","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Melbourne","The Australian National University","Spanning ten billion scales from millimetre turbulence to global circulation. This project aims to explain the role of convection in the ocean. Convection is a key climate process yet it remains one of the most poorly understood mechanisms in the ocean and is crudely represented in climate models, leading to uncertainties in predictions of heat transport, climate change, polar ice loss and sea level rise. Using a unique turbulence-resolving approach and high-performance computing, the project will determine both the global role of buoyancy-driven convection in the broad ocean circulation and the local turbulence controls on melting rates of Antarctic ice-shelves. This will contribute to the formulation of better climate models and keep Australia at the forefront of oceanography and environmental fluid dynamics.","A/Prof Bishakhdatta Gayen","661615","695125","Active","0404 - Geophysics","2024-11-29","A/Prof Bishakhdatta Gayen","",""
"FT180100038","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","Flinders University","Monash University","Tracing connection and change in deep-time landscapes. This project aims to develop new insights into Australia’s past by telling the story of Aboriginal people’s long-term connections and changing relationships with prominent places. Building on new discoveries in the northwest arid zone, the project will conduct archaeological research at landforms in the eastern Pilbara. The project will analyse rock art and excavated materials from key sites to learn how they acted as beacons through time to structure and shape people's movements, encounters and connections with others. This is expected to promote Indigenous connection with cultural heritage, help facilitate cultural education programs in remote areas, and offer new insights into the relationship between cultural heritage and Indigenous health and well-being.","A/Prof Liam Brady","972515","924801","Active","2101 - Archaeology","2026-07-14","A/Prof Liam Brady","",""
"FT180100049","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","Monash University","Monash University","The transcriptome dynamics that refine eukaryotic gene expression. This project aims to understand the fundamental mechanisms of gene expression control, by exploring how cells respond to acute perturbation with changes to RNA expression and processing. Unlike the static information encoded within the genome, the information encoded in its intermediary RNA, is transient, plastic and responsive to environmental and developmental cues. This project will use new technologies encompassing RNA-biochemistry, Next Generation Sequencing, and bioinformatics to answer long-standing questions in RNA processing. The project expects to significantly enhance our understanding of the mechanisms underpinning gene-expression control, benefitting Australia by positioning it as a world leader in the field of RNA Biology.","Prof Traude Beilharz","875077","831965","Closed","0604 - Genetics","2023-03-01","Prof Traude Beilharz","",""
"FT180100055","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","Griffith University","Griffith University","Towards an intercontinental quantum network. This project aims to address the security vulnerabilities of online data transmission. Cyber attacks and data stealing are threatening the daily operations of public and private organisations worldwide, and the privacy of individuals. This project expect to realise the key element for a new global network architecture where security is guaranteed by the fundamental laws of physics. This element is the quantum node and it will be implemented through the development of new techniques for the control and manipulation of individual atoms and innovative integrated optical devices for the interface with fibre networks. The development of this technology will lead to intrinsically secure online communication for organisations in the health and defence sectors and private individuals worldwide.","A/Prof Mirko Lobino","744190","878125","Closed","0206 - Quantum Physics","2021-11-14","A/Prof Mirko Lobino","",""
"FT180100058","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Adelaide","The University of Adelaide","Blue energy harvesting and storage technology for wearable electronics. This project aims to develop new self-charging power devices that can harvest and store body energy generated during body motions, and power smart and implantable medical electronics. The project will develop new Piezo-supercapacitors by designing new electrode materials and cell designs. The charge storage and transport kinetics will be uncovered using advanced in-situ characterisation techniques and modern simulation methods. The project expects to generate new knowledge in blue energy harvesting and storage systems, training for  young scientists, and generate intellectual property with potential commercialised products to be used in implantable devices, placing Australia at the forefront of new technology.","Prof Deepak Dubal","14113","727125","Closed","0913 - Mechanical Engineering","2019-02-28","Prof Deepak Dubal","",""
"FT180100066","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Western Australia","The University of Western Australia","Beyond appearance: revealing the physics of galaxy transformation. This project aims to reveal the physical origin of the large variety of galaxies in the universe by utilising multi-wavelength observations of nearby galaxies combined with advanced data analysis techniques and cutting-edge numerical simulations. The project expects to generate new knowledge in the area of astrophysics by providing a physically-motivated foundation to the subjective and qualitative taxonomic scheme generally used to understand how galaxies, and ultimately stars and planets, formed and evolve. ","Prof Luca Cortese","896712","853125","Closed","0201 - Astronomical and Space Sciences","2023-09-30","Prof Luca Cortese","",""
"FT180100067","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","Monash University","Monash University","The evolution and economics of sacred value. This project aims to use a multi-disciplinary approach to investigate sacred value, a type of extreme moral commitment held by an individual or group. Conflict and violence often revolve around perceived threats to sacred value, and there is a struggle to predict the interaction between material incentives and sacred commitments using orthodox methods of economic analysis. Using techniques from evolutionary anthropology and economics, this project expects to identify the mechanisms that underlie sacred value, and generate novel ways of representing sacred values. By providing a more nuanced set of tools for representing sacred values in areas of conflict, this research will strengthen democratic culture and advance understanding of international conflict.","Prof Toby Handfield","1092742","1039125","Active","2203 - Philosophy","2025-06-04","Prof Toby Handfield","",""
"FT180100069","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The Australian National University","The Australian National University","Groups, piecewise linear representations, and linear 2-representations. This project aims to address fundamental questions at the interface of two central areas of modern mathematics, geometric group theory and higher representation theory. Higher representation theory is a relatively new field, but its tools have already had a tremendous impact on mathematics. The project is expected to use these tools to address outstanding questions in geometric group theory.  The expected outcomes of this project include resolutions of open problems in the theory of Artin groups and the creation of a new subject, the dynamical theory of two-linear groups.","Prof Anthony Licata","1012330","963125","Active","0101 - Pure Mathematics","2025-12-31","Prof Anthony Licata","",""
"FT180100075","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Melbourne","The University of Melbourne","Careers of misconduct. This project aims to understand how legal and health practitioners named in multiple misconduct allegations make changes to their practice. Regulation exists to prevent poorly performing practitioners from doing further harm, yet little is known about the extent to which this is happening. Expected outcomes of the project include a better understanding of how regulation can be used effectively as a tool to promote the interests of consumers of legal and health services. Benefits will include recommendations to legal and health practitioner regulators about how regulatory interventions can be improved to better protect the public.","Prof Matthew Spittal","958215","910709","Closed","1605 - Policy and Administration","2022-12-31","Prof Matthew Spittal","",""
"FT180100081","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Adelaide","The University of Adelaide","Targeting root architecture to improve plant production in sub-optimal soil. This project aims to identify important missing links in the signalling pathways that connect major plant hormones in their control of root architecture, with a focus on the signalling system that helps plants cope with sub-optimal growing conditions. New discoveries in plant hormones will be applied to crops to provide a deeper understanding of root growth responses under sub-optimal conditions, and to maximise plant efficiency. Expected outcomes include a better understanding of signal pathways in roots, improved knowledge about how crops respond to adverse conditions, new knowledge and potential genetic resources for plant industry, and novel ideas about how to improve crop productivity.","Prof Philip Brewer","802863","763527","Closed","0607 - Plant Biology","2022-12-31","Prof Philip Brewer","",""
"FT180100082","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","RMIT University","RMIT University","What shapes our brain? This project aims to improve our fundamental understanding of the biological mechanisms that drive folding of the cerebral cortex, which occurs during development of the brain. Cortical folding is unique to humans and higher mammals, and is thought to underpin the emergence of intelligence and contribute to higher-order brain functions. This project will enhance knowledge of how the cerebral cortex folds and develop novel tools for analysing brain development. The project will provide significant benefits including the generation of fundamental knowledge with implications for future understanding of cortical folding abnormalities in babies born preterm, following fetal growth retardation in utero, or when exposed to maternal alcohol. In the longer term, the project will contribute to improvements to human neurodevelopment and brain health.","Prof Mary Tolcos","949789","903125","Active","1109 - Neurosciences","2025-12-31","Prof Mary Tolcos","",""
"FT180100099","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","La Trobe University","The University of Queensland","Representation theory in exactly solvable systems. This project aims to develop the representation theory of Lie and generalised Lie algebras related to exactly solvable models. The project will exploit several innovative ideas on the structure of quadratic algebras, Casimir invariants, differential operator realisations, roots systems, characters and indecomposable representations. This will give fundamental mathematical insight and allow the construction of new, exactly solvable models. This will have an impact on theoretical physics as exactly solvable models play a central role in our understanding of a plethora of physical phenomena.","Dr Ian Marquette","765210","728125","Active","0105 - Mathematical Physics","2026-12-31","Dr Ian Marquette","",""
"FT180100100","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The Australian National University","The Australian National University","Single spin molecular microscope. This project aims to create a new tool for imaging and analysing material at the atomic level. The tool is based on individual quantum coherent spins in diamond which can be manipulated and optically read. The project expects to generate knowledge in quantum metrology and an understanding of molecular dynamics at the nanoscale. The expected outcome is a new type of device capable of imaging complex physical systems at the level of their individual constituent components. This has significant benefits in improving designer materials, energy production, information storage, and drug design.","Dr Liam McGuinness","705865","728125","Closed","0204 - Condensed Matter Physics","2023-12-31","Dr Liam McGuinness","",""
"FT180100116","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Sydney","The University of Sydney","Automatic video annotation by learning from web data. This project aims to study next-generation video annotation technologies to automatically tag raw videos using a huge set of semantic concepts. The project will study new domain adaptation schemes and frameworks in order to substantially improve video annotation performance. The resulting prototype system can be directly used by ordinary users worldwide to search their personal videos using textual queries. The system is also applicable to video surveillance applications, which can enhance Australia’s homeland security.","Prof Dong Xu","603977","978125","Closed","0801 - Artificial Intelligence and Image Processing","2022-08-29","Prof Dong Xu","",""
"FT180100123","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Newcastle","The University of Newcastle","Breaking through the Gram-negative cell barrier. This project aims to develop fundamental knowledge of the cell envelope in Gram-negative bacteria, which functions as a permeability barrier to small molecules. Combining innovative functional genomics with biochemistry, this project will determine how small molecules can pass across the cell envelope, and the chemical properties that they need to do so. Some Gram-negative bacteria are human pathogens and cause serious infections, whereas others are used in biotechnology for biosynthetic chemical production or bioremediation. This project expects to help the future development of new antibiotics and assist in the design of strains to be used in biotechnological applications.","A/Prof Karl Hassan","919422","874125","Closed","0605 - Microbiology","2023-12-31","A/Prof Karl Hassan","",""
"FT180100139","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","Griffith University","Griffith University","Engaging Muslims in the fight against terrorism. This project aims to investigate engagement between the Australian police and Muslim communities by emphasising mutual fairness, voice, neutrality and respect. Collaboration from Muslims is essential in strategies to prevent terrorist activities The project will identify how police use procedural justice and when and why Muslims are most receptive to procedural justice. It is expected this will enhance police relationships with Muslims and assist measures in terrorism prevention.","Prof Kristina Murphy","1021145","970917","Closed","1602 - Criminology","2023-02-06","Prof Kristina Murphy","",""
"FT180100140","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","Monash University","Monash University","A ubiquitous system for indoor location-based services. This project aims to design a system capable of providing location-based services in WiFi-enabled indoor buildings. The project expects to address two major challenges hindering such a system, capability to identify a user's location in any indoor venue with minimum manual overhead, and effective data management techniques for indoor data. Expected outcomes of this project include new techniques for managing and utilising indoor location data and enhanced international collaborations. The project will support and enhance a wide range of indoor applications such as emergency services, assisted healthcare systems, indoor asset tracking, event planning, indoor venue management, and consumer experience.","Prof Muhammad Cheema","903640","859125","Closed","0806 - Information Systems","2023-10-30","Prof Muhammad Cheema","",""
"FT180100154","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","Deakin University","Deakin University","Why are fish shrinking as the climate warms? This project aims to uncover the mechanisms behind the temperature-size rule, a phenomenon causing fishes and other aquatic organisms to decline in size as the climate warms. Drawing on multidisciplinary expertise to test three competing theories, this project expects to identify the fundamental processes driving the temperature-size rule phenomenon. Expected outcomes include improved models to forecast the effects of global warming on fish and fisheries. The new knowledge and predictive power should be of direct benefit to natural resource managers in the continuing effort to mitigate the negative impacts of climate change. This will guide policy and management decisions by enabling more accurate forecasts of the impacts of climate change on wild and cultured fishes.","Prof Timothy Clark","903277","858171","Closed","0608 - Zoology","2024-06-03","Prof Timothy Clark","",""
"FT180100157","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","Queensland University of Technology","Queensland University of Technology","Modular microfluidic platform for mimicking multi-organ system interactions. This project aims to develop a novel, modular microfluidic platform that overcomes current limitations of integrated systems in synchronising multi-tissue culture, imaging and operational complexity. Understanding multi-organ systemic crosstalk in human health and diseases demands dynamic culture systems that can mimic such interactions. This project will deliver a first-in-class platform technology and establish international and disciplinary collaborations to develop different tissue and engineering modules relevant to applications in systemic nanotoxicology, drug bioactivation and chronic diseases. This will provide the cornerstone technology to develop a new generation of disease models and therapeutics targeting interaction dysfunctions.","Prof Yi-Chin Toh","761548","723125","Active","0910 - Manufacturing Engineering","2025-12-31","Prof Yi-Chin Toh","",""
"FT180100162","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","RMIT University","RMIT University","How the missing matter. This project aims to investigate how the issue of people who are missing in conflicts impacts on the identities, memories and migration patterns of the survivors in the aftermath of violence and displacement. The expected outcomes include raising awareness about the missing worldwide and to provide better understanding of refugee wellbeing following resettlement and to improve the work done by governments and organisations in creating supportive resettlement contexts.","Prof Hariz Halilovich","1057384","1005160","Active","1601 - Anthropology","2026-12-31","Prof Hariz Halilovich","",""
"FT180100172","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Queensland","The University of Queensland","Regulation of cell proliferation and survival by the ubiquitin system. This project aims to investigate how the fundamental processes of cell division and cell death are controlled at the molecular level by protein degradation enzymes (known as ubiquitin ligases), and how these regulate cellular homeostasis. Using interdisciplinary approaches incorporating proteomics, biochemistry, and molecular cell biology, this project seeks to delineate the components of signalling pathways implicated in the degradation of proteins implicated in cell division and cell death. Expected outcomes include an increased understanding of how proteins are specifically selected for degradation. Protein degradation pathways operate with remarkable selectivity and this work is expected to illuminate the mechanisms of substrate targeting. The biochemical approaches will provide insight and impact in the areas of cell signaling, organelle biology and cell biology.","A/Prof Julia Pagan","766403","728645","Closed","0601 - Biochemistry and Cell Biology","2023-12-31","A/Prof Julia Pagan","",""
"FT180100186","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Queensland","The University of Queensland","Deciphering the genetic architecture of human complex traits. This project aims to develop statistical methods to integrate data from genetic studies of complex traits such as stature and cognition. Molecular phenotypes such as gene expression in large samples will be used to predict target genes and regulatory elements of those traits. Understanding the genetic basis of human complex traits is critical to longstanding questions in human and evolutionary biology. The project will also detect signatures of natural selection in shaping the genetic variation in complex traits. The project will provide better understanding of complex traits in global populations and the history of human evolution, and will develop methods applicable in plant and animal contexts.","Prof Jian Yang","335600","918125","Closed","0604 - Genetics","2020-07-01","Prof Jian Yang","",""
"FT180100194","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","Swinburne University of Technology","Swinburne University of Technology","Testing fundamental physics with solar twin stars. This project aims to test the  variation  of fundamental physical constants across our galaxy by using twins of our Sun, a new probe that unlocks a 1000-fold sensitivity gain. The standard model of nature's laws cannot explain fundamental constants, like electromagnetism's strength, alpha. By discovering distant solar twins, the project intends to probe alpha in regions of very different Dark Matter density, opening an unexplored discovery space. Expected outcomes include the most precise astronomical measurement of a fundamental constant, and the first test of variations in alpha across our Galaxy's Dark Matter field.","Prof Michael Murphy","1043968","993125","Closed","0201 - Astronomical and Space Sciences","2024-06-30","Prof Michael Murphy","",""
"FT180100204","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Western Australia","The University of Western Australia","An integrated molecular approach to human gene regulation. This proposal aims to reveal how the interaction of nuclear RNA and protein molecules control gene regulation in the face of cell stress. To understand how genetic variation leads to changes in the expression of genes, we need new insights into the fundamental principles underpinning complex gene regulatory systems. Building on the discovery of paraspeckles, novel gene regulatory structures, this project will yield insights into gene regulation that will help fill these knowledge gaps. This will provide a more comprehensive understanding of RNA-mediated gene regulation, and will open up new research opportunities to target RNA based gene regulatory complexes.","Prof Archa Fox","923629","878125","Closed","0604 - Genetics","2023-12-31","Prof Archa Fox","",""
"FT180100211","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Melbourne","The University of Melbourne","New physics with strongly correlated and spin-orbit-coupled electrons. This project aims to identify new physics in quantum magnets and emergent phenomena in solids where the electrons are strongly coupled and intertwined in a complex manner. As a consequence, quantum effects are dramatically enhanced and, in certain situations, force the electrons to split into different exotic particles.  This project expects to identify suitable physical systems, candidate materials and appropriate conditions required for the experimental observation of this phenomena with neutron scattering methods. The advanced materials and exotic particles identified in this project will inform the development of next generation technologies, becoming the quantum bits in future quantum computers.","Prof Dr Stephan Rachel","655779","623490","Closed","0204 - Condensed Matter Physics","2023-12-31","Prof Dr Stephan Rachel","",""
"FT180100214","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Sydney","The University of Sydney","Biomimetic surface coatings for drag and fouling reduction. This project aims to provide new insights into liquid flow and adsorption at liquid/solid and liquid/liquid interfaces, by using a combination of theoretical predictions, nanoscale techniques and nanofabrication approaches. Expected outcomes are the development of liquid-repellent slippery surface coatings that reduce hydrodynamic drag and inhibit marine fouling. This will benefit the fields of advanced manufacturing and smart coatings, and will underpin a wide range of energy efficient processes and products. Slippery coatings will solve urgent environmental problems of social value by improving the energy and chemical efficiency in fluid flow, heat transfer, secondary oil recovery, microfluidics, and anti-fouling.","Prof Chiara Neto","874748","858125","Closed","1007 - Nanotechnology","2023-02-03","Prof Chiara Neto","",""
"FT180100216","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Melbourne","The University of Melbourne","Discovering nature's photonic devices to control light and heat. This project aims to discover how and why beetles and butterflies reflect near-infrared light. Reflection of near-infrared radiation may be critical to prevent overheating, yet its role in thermal protection remains largely unexplored. The project will integrate evolutionary biology, optical physics and biophysics to reveal the diversity, mechanism, function and evolution of near-infrared signatures. Expected outcomes include the discovery of nature’s solutions to selection for both optical (camouflage, communication) and thermal functions. The project will have significant benefits such as creating opportunities to develop biomimetic and bioinspired materials to enhance energy efficiency, which will have significant economic and environmental benefits.","Prof Devi Stuart-Fox","974117","926125","Closed","0603 - Evolutionary Biology","2023-11-30","Prof Devi Stuart-Fox","",""
"FT180100231","ARC Future Fellowships","2018","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2017 ^ roundNumber: 1 ^ schemeRound: FT18 Round 1","The University of Sydney","The University of Sydney","How do galaxies get their gas? This project aims to build new understanding about the fundamental physics behind how galaxies get their gas. The way gas is accreted in galaxies affects how stars are made and what galaxies look like, including our own milky way. This project expects to build a new robotic instrument for three dimensional spectroscopy of galaxies, called Hector-I, to establish and run the Hector Galaxy Survey, the largest of its kind ever conducted. This survey data set will underpin broad investigations of gas accretion and the impact on the physical properties of galaxies. The project will clarify why our own galaxy looks so different to others, demonstrate Australian technologies for future commercialisation on international facilities, and train students for a high quality workforce.","Prof Julia Bryant","911007","866125","Closed","0201 - Astronomical and Space Sciences","2023-09-04","Prof Julia Bryant","",""
